offset,opcode,kind,target
0x000270,0x4EF9,jmp_abs_l,0x00005ACC
0x000276,0x4EF9,jmp_abs_l,0x00006FF2
0x00027C,0x4EF9,jmp_abs_l,0x000071DE
0x000282,0x4EF9,jmp_abs_l,0x000085CC
0x0002B0,0x4EF9,jmp_abs_l,0x000091DA
0x0002B6,0x4EF9,jmp_abs_l,0x000092B4
0x0002BC,0x4EF9,jmp_abs_l,0x0000A04E
0x0002C2,0x4EF9,jmp_abs_l,0x0000A184
0x0002C8,0x4EF9,jmp_abs_l,0x0000A2AE
0x0002CE,0x4EF9,jmp_abs_l,0x0000AAF6
0x0002FA,0x4EB9,jsr_abs_l,0x0000B550
0x000322,0x4EB9,jsr_abs_l,0x0000B600
0x00034C,0x4EB9,jsr_abs_l,0x0000B550
0x00035C,0x4EB9,jsr_abs_l,0x0000963A
0x00037A,0x4EB9,jsr_abs_l,0x00004FDA
0x00038A,0x4EF9,jmp_abs_l,0x0000AFBA
0x000390,0x4EF9,jmp_abs_l,0x0000B1E6
0x000396,0x4EF9,jmp_abs_l,0x0000BBE0
0x00039C,0x4EF9,jmp_abs_l,0x0000C11A
0x0003A2,0x4EF9,jmp_abs_l,0x0000C3B0
0x0003A8,0x4EF9,jmp_abs_l,0x0000DF9E
0x0003E8,0x4EB9,jsr_abs_l,0x00006544
0x000404,0x4EB9,jsr_abs_l,0x0000F4C2
0x000430,0x4EB9,jsr_abs_l,0x00006722
0x0004C2,0x4EB9,jsr_abs_l,0x00006544
0x0004DE,0x4EB9,jsr_abs_l,0x0000F4C2
0x00050A,0x4EB9,jsr_abs_l,0x00006722
0x00058A,0x4EB9,jsr_abs_l,0x0000E30E
0x000590,0x4EB9,jsr_abs_l,0x0000E48E
0x000596,0x4EB9,jsr_abs_l,0x0000E47C
0x00059C,0x4EB9,jsr_abs_l,0x0000E556
0x0005A2,0x4EB9,jsr_abs_l,0x0000E5C4
0x0005B4,0x4EB9,jsr_abs_l,0x0000EA30
0x0005BA,0x4EB9,jsr_abs_l,0x0000E8BC
0x0005C0,0x4EB9,jsr_abs_l,0x0000EA0E
0x0005C6,0x4EB9,jsr_abs_l,0x0000EBD6
0x000612,0x4EB9,jsr_abs_l,0x0000E556
0x000624,0x4EB9,jsr_abs_l,0x0000EA30
0x00062A,0x4EB9,jsr_abs_l,0x0000EA54
0x000630,0x4EB9,jsr_abs_l,0x0000E8E6
0x000636,0x4EB9,jsr_abs_l,0x0000EBD6
0x000678,0x4EB9,jsr_abs_l,0x0000E48E
0x00067E,0x4EB9,jsr_abs_l,0x0000E47C
0x000692,0x4EB9,jsr_abs_l,0x0000EBD6
0x0006D0,0x4EB9,jsr_abs_l,0x0000EBD6
0x0006EC,0x4EB9,jsr_abs_l,0x0000EF48
0x0006F2,0x4EB9,jsr_abs_l,0x00006722
0x000712,0x4EB9,jsr_abs_l,0x00006722
0x000754,0x4EB9,jsr_abs_l,0x0000E50E
0x00076E,0x4EB9,jsr_abs_l,0x0000EBD6
0x00078A,0x4EB9,jsr_abs_l,0x0000EF48
0x0007BA,0x4EB9,jsr_abs_l,0x0000F3C2
0x0007D2,0x4EB9,jsr_abs_l,0x00006544
0x0007E2,0x4EB9,jsr_abs_l,0x0000F4C2
0x0007F6,0x4EB9,jsr_abs_l,0x00006722
0x000808,0x4EB9,jsr_abs_l,0x00006722
0x000836,0x4EB9,jsr_abs_l,0x0000EBD6
0x00086A,0x4EB9,jsr_abs_l,0x0000F3C2
0x000886,0x4EB9,jsr_abs_l,0x0000EBD6
0x0008A6,0x4EB9,jsr_abs_l,0x0000E37E
0x0008AC,0x4EB9,jsr_abs_l,0x0000EA0E
0x0008B2,0x4EB9,jsr_abs_l,0x0000EBD6
0x0008CA,0x4EB9,jsr_abs_l,0x0000F3C2
0x0008D4,0x4EB9,jsr_abs_l,0x0000E864
0x0008DE,0x4EB9,jsr_abs_l,0x0000EBD6
0x000946,0x4EB9,jsr_abs_l,0x0000EB2A
0x000954,0x4EB9,jsr_abs_l,0x0000EB74
0x0009F6,0x4EB9,jsr_abs_l,0x00006544
0x000A12,0x4EB9,jsr_abs_l,0x0000F4C2
0x000A3E,0x4EB9,jsr_abs_l,0x00006722
0x000AD4,0x4EB9,jsr_abs_l,0x00006544
0x000AF0,0x4EB9,jsr_abs_l,0x0000F4C2
0x000B1C,0x4EB9,jsr_abs_l,0x00006722
0x000BCE,0x4EB9,jsr_abs_l,0x0000E37E
0x000BD4,0x4EB9,jsr_abs_l,0x0000E48E
0x000BDA,0x4EB9,jsr_abs_l,0x0000E47C
0x000C0E,0x4EB9,jsr_abs_l,0x0000E9D0
0x000C20,0x4EB9,jsr_abs_l,0x0000E5DA
0x000C28,0x4EB9,jsr_abs_l,0x0000E9D0
0x000C3E,0x4EB9,jsr_abs_l,0x0000EBD6
0x000C7A,0x4EB9,jsr_abs_l,0x00006544
0x000C82,0x4EB9,jsr_abs_l,0x0000E6B0
0x000CA2,0x4EB9,jsr_abs_l,0x0000EBB2
0x000CF0,0x4EB9,jsr_abs_l,0x0000EBD6
0x000D10,0x4EB9,jsr_abs_l,0x0000F4C2
0x000D32,0x4EB9,jsr_abs_l,0x0000E596
