name,address,note
initial_ssp,0x00FFFE00,autogenerated from vector table
reset_pc,0x0000450A,autogenerated from vector table
bus_error,0x00004500,autogenerated from vector table
address_error,0x00004500,autogenerated from vector table
illegal_instruction,0x00004500,autogenerated from vector table
divide_by_zero,0x00004500,autogenerated from vector table
chk_exception,0x00004500,autogenerated from vector table
trapv_exception,0x00004500,autogenerated from vector table
privilege_violation,0x00004500,autogenerated from vector table
trace_exception,0x00004500,autogenerated from vector table
line_1010_emulator,0x00004500,autogenerated from vector table
line_1111_emulator,0x00004500,autogenerated from vector table
reserved_12,0x00004500,autogenerated from vector table
reserved_13,0x00004500,autogenerated from vector table
reserved_14,0x00004500,autogenerated from vector table
uninitialized_interrupt,0x00004500,autogenerated from vector table
reserved_16,0x00004500,autogenerated from vector table
reserved_17,0x00004500,autogenerated from vector table
reserved_18,0x00004500,autogenerated from vector table
reserved_19,0x00004500,autogenerated from vector table
reserved_20,0x00004500,autogenerated from vector table
reserved_21,0x00004500,autogenerated from vector table
reserved_22,0x00004500,autogenerated from vector table
reserved_23,0x00004500,autogenerated from vector table
spurious_interrupt,0x00004500,autogenerated from vector table
irq_level_1,0x00004500,autogenerated from vector table
irq_level_2,0x00004500,autogenerated from vector table
irq_level_3,0x00004500,autogenerated from vector table
irq_level_4_hblank,0x0000483E,autogenerated from vector table
irq_level_5,0x00004500,autogenerated from vector table
irq_level_6_vblank,0x0000482E,autogenerated from vector table
irq_level_7,0x00004500,autogenerated from vector table
trap_0,0x00000000,autogenerated from vector table
trap_1,0x00000000,autogenerated from vector table
trap_2,0x00000000,autogenerated from vector table
trap_3,0x00000000,autogenerated from vector table
trap_4,0x00000000,autogenerated from vector table
trap_5,0x00000000,autogenerated from vector table
trap_6,0x00000000,autogenerated from vector table
trap_7,0x00000000,autogenerated from vector table
trap_8,0x00000000,autogenerated from vector table
trap_9,0x00000000,autogenerated from vector table
trap_10,0x00000000,autogenerated from vector table
trap_11,0x00000000,autogenerated from vector table
trap_12,0x00000000,autogenerated from vector table
trap_13,0x00000000,autogenerated from vector table
trap_14,0x00000000,autogenerated from vector table
trap_15,0x00000000,autogenerated from vector table
reserved_48,0x00000000,autogenerated from vector table
reserved_49,0x00000000,autogenerated from vector table
reserved_50,0x00000000,autogenerated from vector table
reserved_51,0x00000000,autogenerated from vector table
reserved_52,0x00000000,autogenerated from vector table
reserved_53,0x00000000,autogenerated from vector table
reserved_54,0x00000000,autogenerated from vector table
reserved_55,0x00000000,autogenerated from vector table
reserved_56,0x00000000,autogenerated from vector table
reserved_57,0x00000000,autogenerated from vector table
reserved_58,0x00000000,autogenerated from vector table
reserved_59,0x00000000,autogenerated from vector table
reserved_60,0x00000000,autogenerated from vector table
reserved_61,0x00000000,autogenerated from vector table
reserved_62,0x00000000,autogenerated from vector table
reserved_63,0x00000000,autogenerated from vector table
